Word,Position,Level,Translation
a,determiner,A1,A
a.m./A.M./am/AM,adverb,A1,sabah/öğlen/öğlen/öğlen
abandon,verb,B1,terk etmek
abandoned,adjective,B2,terk edilmiş
ability,noun,A2,yetenek
able,adjective,B1,hünerli
abnormal,adjective,B1,anormal
abnormally,adverb,B2,anormal olarak
aboard,adverb,B1,gemide
abolish,verb,B2,ortadan kaldırmak
aboriginal,adjective,B2,yerli
aborigine,noun,B1,yerli
about,adverb,A1,hakkında
about,preposition,A1,hakkında
above,adjective,B1,üstünde
above,adverb,A1,üstünde
above,preposition,A1,üstünde
abroad,adverb,A2,yurt dışı
abruptly,adverb,B2,aniden
absence,noun,B1,yokluk
absent,adjective,B1,mevcut olmayan
absentee,noun,B2,devamsızlık
absolute,adjective,B1,mutlak
absolutely,adverb,B1,kesinlikle
absorb,verb,B1,emmek
abstract,adjective,B1,soyut
absurd,adjective,B2,absürt
abundance,noun,B1,bolluk
abundant,adjective,B1,bolluk
abuse,noun,B2,suistimal etmek
academic,adjective,B1,akademik
academy,noun,B1,akademi
accent,noun,B1,aksan
accept,verb,A2,kabul etmek
acceptable,adjective,A2,kabul edilebilir
acceptance,noun,B1,kabul
access,noun,B1,erişim
access,verb,B2,erişim
accessibility,noun,B2,ulaşılabilirlik
accessible,adjective,B1,erişilebilir
accessory,noun,B1,aksesuar
accident,noun,A2,kaza
accidental,adjective,B1,tesadüfi
accidentally,adverb,B1,kazara
accommodation,noun,B2,konaklama
accompany,verb,B1,eşlik etmek
accomplish,verb,B1,sonuçlandırmak
according to,preposition,B1,buna göre
accordingly,adverb,B2,buna göre
account,noun,A2,hesap
account,verb,B1,hesap
accountant,noun,B1,muhasebeci
accumulate,verb,B2,biriktirmek
accuracy,noun,B1,kesinlik
accurate,adjective,B1,kesin
accurately,adverb,B1,doğru bir şekilde
accusation,noun,B2,suçlama
accuse,verb,B1,suçlamak
accustom,verb,B1,alıştırmak
ache,noun,B1,ağrı
ache,verb,B2,ağrı
achievable,adjective,B2,başarılabilir
achieve,verb,A2,başarmak
achievement,noun,B1,başarı
acid,noun,B2,asit
acknowledge,verb,B1,kabullenmek
acknowledgment/acknowledgement,noun,B1,teşekkür/teşekkür
acquaintance,noun,B1,tanıdık
acquire,verb,B1,elde etmek
acquisition,noun,B2,kazanma
across,adverb,A2,karşısında
across,preposition,A2,karşısında
act,noun,A2,davranmak
act,verb,B1,davranmak
action,noun,A1,aksiyon
active,adjective,B1,aktif
actively,adverb,B2,aktif olarak
activity,noun,A1,aktivite
actor,noun,A1,aktör
actress,noun,B1,aktris
actual,adjective,B2,gerçek
actually,adverb,A2,Aslında
acute,adjective,B2,akut
ad,noun,B1,reklam
adapt,verb,B1,adapte olmak
adaptable,adjective,B2,uyarlanabilir
add,verb,A1,eklemek
addict,noun,B2,bağımlı
addicted,adjective,B2,bağımlı
addiction,noun,B2,bağımlılık
addition,noun,A2,ek
additional,adjective,A2,ek olarak
additionally,adverb,B2,bunlara ek olarak
address,noun,A1,adres
address,verb,B1,adres
addressee,noun,B1,muhatap
adequate,adjective,B2,yeterli
adequately,adverb,B2,yeterince
adjective,noun,A2,sıfat
adjust,verb,A2,ayarlamak
adjustment,noun,B2,ayar
administration,noun,B1,yönetim
administrative,adjective,B2,Yönetim
admirable,adjective,B2,takdire şayan
admiration,noun,B1,hayranlık
admire,verb,A2,beğenmek
admiringly,adverb,B2,hayranlıkla
admission,noun,B1,kabul
admit,verb,A2,itiraf etmek
admittedly,adverb,B2,kuşkusuz
adopt,verb,B1,evlat edinmek
adopted,adjective,B2,kabul edilen
adoption,noun,B2,Benimseme
adorable,adjective,B1,sevimli
adore,verb,B2,hayranlık duymak
adorn,verb,B2,süslemek
adult,adjective,A2,yetişkin
adult,noun,A2,yetişkin
advance,noun,B2,ilerlemek
advance,verb,B1,ilerlemek
advanced,adjective,A2,gelişmiş
advancement,noun,B2,ilerleme
advantage,noun,A2,avantaj
advent,noun,B2,geliş
adventure,noun,A2,macera
adventurous,adjective,B2,maceracı
adverb,noun,B1,zarf
adverbial,adjective,B1,zarf
adverse,adjective,B2,olumsuz
adversely,adverb,B2,olumsuz olarak
adversity,noun,B2,sıkıntı
advert,noun,B1,reklam
advertise,verb,B1,reklam vermek
advertisement,noun,A2,reklamcılık
advertising,noun,A2,reklam
advice,noun,A2,tavsiye
advise,verb,A2,öğüt vermek
adviser/advisor,noun,B1,danışman/danışman
aerobics,noun,B1,aerobik
affair,noun,A2,mesele
affect,verb,B1,etkilemek
affection,noun,B1,alaka
affectionate,adjective,B2,sevecen
affectionately,adverb,B2,sevgiyle
afford,verb,B1,parası yetmek
affordable,adjective,B2,ekonomik
afraid,adjective,A1,korkmuş
after,adverb,A2,sonrasında
after,conjunction,B1,sonrasında
after,preposition,A1,sonrasında
afternoon,noun,A1,öğleden sonra
afterward,adverb,B1,sonrasında
afterwards,adverb,B1,daha sonrasında
again,adverb,A1,Tekrar
against,preposition,A2,aykırı
age,noun,A1,yaş
aged,adjective,A2,yaşlı
ageless,adjective,B2,eskimeyen
agency,noun,A2,Ajans
agenda,noun,B1,Gündem
agent,noun,A2,ajan
aggressive,adjective,B1,agresif
aggressively,adverb,B2,agresif bir şekilde
ago,adverb,A1,evvel
agonize/agonise,verb,B2,ıstırap çekmek/ızdırap çekmek
agony,noun,B2,ızdırap
agree,verb,A1,kabul etmek
agreement,noun,B1,anlaşma
agricultural,adjective,B1,tarımsal
agriculture,noun,B1,tarım
ahead,adverb,A2,ilerde
aid,noun,B1,yardım
aid,verb,B1,yardım
aim,noun,B1,amaç
aim,verb,B2,amaç
air,noun,A2,hava
air conditioning,noun,B1,klima
air force,noun,B1,hava Kuvvetleri
aircraft,noun,B2,uçak
aircrew,noun,B2,Hava mürettebatı
airline,noun,B1,havayolu
airplane/aeroplane,noun,A1,uçak/uçak
airport,noun,A1,havalimanı
aisle,noun,A2,koridor
alarm,noun,A2,alarm
