word_id,word_language,word_level,word_position,word_translation,word_word
1,English,A1,determiner,A,a
2,English,A1,adverb,sabah/öğlen/öğlen/öğlen,a.m./A.M./am/AM
3,English,B1,verb,terk etmek,abandon
4,English,B2,adjective,terk edilmiş,abandoned
5,English,A2,noun,yetenek,ability
6,English,B1,adjective,hünerli,able
7,English,B1,adjective,anormal,abnormal
8,English,B2,adverb,anormal olarak,abnormally
9,English,B1,adverb,gemide,aboard
10,English,B2,verb,ortadan kaldırmak,abolish
11,English,B2,adjective,yerli,aboriginal
12,English,B1,noun,yerli,aborigine
13,English,A1,adverb,hakkında,about
14,English,A1,preposition,hakkında,about
15,English,B1,adjective,üstünde,above
16,English,A1,adverb,üstünde,above
17,English,A1,preposition,üstünde,above
18,English,A2,adverb,yurt dışı,abroad
19,English,B2,adverb,aniden,abruptly
20,English,B1,noun,yokluk,absence
21,English,B1,adjective,mevcut olmayan,absent
22,English,B2,noun,devamsızlık,absentee
23,English,B1,adjective,mutlak,absolute
24,English,B1,adverb,kesinlikle,absolutely
25,English,B1,verb,emmek,absorb
26,English,B1,adjective,soyut,abstract
27,English,B2,adjective,absürt,absurd
28,English,B1,noun,bolluk,abundance
29,English,B1,adjective,bolluk,abundant
30,English,B2,noun,suistimal etmek,abuse
31,English,B1,adjective,akademik,academic
32,English,B1,noun,akademi,academy
33,English,B1,noun,aksan,accent
34,English,A2,verb,kabul etmek,accept
35,English,A2,adjective,kabul edilebilir,acceptable
36,English,B1,noun,kabul,acceptance
37,English,B1,noun,erişim,access
38,English,B2,verb,erişim,access
39,English,B2,noun,ulaşılabilirlik,accessibility
40,English,B1,adjective,erişilebilir,accessible
41,English,B1,noun,aksesuar,accessory
42,English,A2,noun,kaza,accident
43,English,B1,adjective,tesadüfi,accidental
44,English,B1,adverb,kazara,accidentally
45,English,B2,noun,konaklama,accommodation
46,English,B1,verb,eşlik etmek,accompany
47,English,B1,verb,sonuçlandırmak,accomplish
48,English,B1,preposition,buna göre,according to
49,English,B2,adverb,buna göre,accordingly
50,English,A2,noun,hesap,account
51,English,B1,verb,hesap,account
52,English,B1,noun,muhasebeci,accountant
53,English,B2,verb,biriktirmek,accumulate
54,English,B1,noun,kesinlik,accuracy
55,English,B1,adjective,kesin,accurate
56,English,B1,adverb,doğru bir şekilde,accurately
57,English,B2,noun,suçlama,accusation
58,English,B1,verb,suçlamak,accuse
59,English,B1,verb,alıştırmak,accustom
60,English,B1,noun,ağrı,ache
61,English,B2,verb,ağrı,ache
62,English,B2,adjective,başarılabilir,achievable
63,English,A2,verb,başarmak,achieve
64,English,B1,noun,başarı,achievement
65,English,B2,noun,asit,acid
66,English,B1,verb,kabullenmek,acknowledge
67,English,B1,noun,teşekkür/teşekkür,acknowledgment/acknowledgement
68,English,B1,noun,tanıdık,acquaintance
69,English,B1,verb,elde etmek,acquire
70,English,B2,noun,kazanma,acquisition
71,English,A2,adverb,karşısında,across
72,English,A2,preposition,karşısında,across
73,English,A2,noun,davranmak,act
74,English,B1,verb,davranmak,act
75,English,A1,noun,aksiyon,action
76,English,B1,adjective,aktif,active
77,English,B2,adverb,aktif olarak,actively
